compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
butyl(trichloro)silane,325.15,1,CCCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
"InChI=1S/2Na.H2O4S2/c;;1-5(2)6(3)4/h;;(H,1,2)(H,3,4)/q2*+1;/p-2",373.15,1,[O-]S(=O)S(=O)[O-].[Na+].[Na+],pubchem,0,1,0,0
dimethyl-bis(trimethylsilyloxy)silane,408.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,pubchem,1,1,0,0
trimethyl(trimethylsilyloxy)silane,243.15,1,C[Si](C)(C)O[Si](C)(C)C,pubchem,1,1,0,0
chloro(diethyl)alumane;dichloro(ethyl)alumane,253.15,1,CC[Al](CC)Cl.CC[Al](Cl)Cl,pubchem,0,1,0,0
"carbon monoxide;manganese;2-methylcyclopenta-1,3-diene",369.15,1,CC1=C[CH-]C=C1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn],pubchem,0,1,0,0
trimethyl-[methyl-bis(trimethylsilyloxy)silyl]oxysilane,359.15,1,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,pubchem,1,1,0,0
trichloro(cyclohexyl)silane,364.15,1,C1CCC(CC1)[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
dimethyl-octadecyl-(3-trimethoxysilylpropyl)azanium;chloride,288.15,1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.[Cl-],pubchem,1,1,0,0
dichlorochromium;octadecanoic acid;hydrate,275.15,1,CCCCCCCCCCCCCCCCCC(=O)O.O.Cl[Cr]Cl.Cl[Cr]Cl,pubchem,0,1,0,1
ethoxyethane;trifluoroborane,337.15,1,B(F)(F)F.CCOCC,pubchem,0,1,0,0
manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,411.15,1,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],pubchem,0,1,0,0
chromium(3+);octadecanoate;tetrachloride;hydroxide,275.15,1,CCCCCCCCCCCCCCCCCC(=O)[O-].[OH-].[Cl-].[Cl-].[Cl-].[Cl-].[Cr+3].[Cr+3],pubchem,0,1,0,0
sodium;chloro-(4-methylphenyl)sulfonylazanide,465.15,1,CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl.[Na+],pubchem,0,1,0,0
dichlorochromium;1-hydroxyoctadecylideneoxidanium;hydrate,275.15,1,CCCCCCCCCCCCCCCCCC(=[OH+])O.O.Cl[Cr]Cl.Cl[Cr]Cl,pubchem,0,1,0,0
"trichloro-(3,4-dichlorophenyl)silane",414.15,1,C1=CC(=C(C=C1[Si](Cl)(Cl)Cl)Cl)Cl,pubchem,1,1,0,0
zinc;N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,363.15,1,C(CNC(=S)[S-])NC(=S)[S-].[Zn+2],pubchem,0,1,0,0
InChI=1S/C2H6ClSi/c1-4(2)3/h1-2H3,264.15,1,C[Si](C)Cl,pubchem,1,1,0,0
"InChI=1S/C2H5Cl2Si/c1-2-5(3)4/h2H2,1H3",272.15,1,CC[Si](Cl)Cl,pubchem,1,1,0,0
InChI=1S/CH3Cl2Si/c1-4(2)3/h1H3,247.15,1,C[Si](Cl)Cl,pubchem,1,1,0,0
triphenyltin;hydrate,673.15,1,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O,pubchem,0,1,1,0
"InChI=1S/C6H15O3Si/c1-4-7-10(8-5-2)9-6-3/h4-6H2,1-3H3",300.15,1,CCO[Si](OCC)OCC,pubchem,1,1,0,0
InChI=1S/CH3ClSi/c1-3-2/h1H3,264.15,1,C[Si]Cl,pubchem,1,1,0,0
"cyclopenta-1,3-diene;nickel",277.15,1,C1C=CC=C1.C1C=CC=C1.[Ni],pubchem,0,1,0,0
acetyloxy(phenyl)mercury,333.15,1,CC(=O)O[Hg]C1=CC=CC=C1,pubchem,0,1,0,0
[dibutyl(dodecanoyloxy)stannyl] dodecanoate,508.15,1,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,pubchem,0,1,1,0
[acetyloxy(dibutyl)stannyl] acetate,416.15,1,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,pubchem,0,1,1,0
triethylalumane,220.15,1,CC[Al](CC)CC,pubchem,0,1,0,0
tris(2-methylpropyl)alumane,250.15,1,CC(C)C[Al](CC(C)C)CC(C)C,pubchem,0,1,0,0
zinc;bis(6-methylheptoxy)-sulfanylidene-sulfido-Î»5-phosphane,433.15,1,CC(C)CCCCCOP(=S)(OCCCCCC(C)C)[S-].CC(C)CCCCCOP(=S)(OCCCCCC(C)C)[S-].[Zn+2],pubchem,0,1,0,0
zinc;octadecanoic acid,550.15,1,CCCCCCCCCCCCCCCCCC(=O)O.[Zn+2],pubchem,0,1,0,1
potassium;methanolate,284.15,1,C[O-].[K+],pubchem,0,1,0,0
butan-1-ol;titanium,350.15,1,CCCCO.[Ti],pubchem,0,1,0,0
ethoxy(trioxido)silane,310.15,1,CCO[Si]([O-])([O-])[O-],pubchem,1,1,0,0
methoxy(dioxido)borane,266.15,1,B([O-])([O-])OC,pubchem,0,1,0,0
copper;3-(4-ethylcyclohexyl)propanoate;3-(3-ethylcyclopentyl)propanoate,311.15,1,CCC1CCC(CC1)CCC(=O)[O-].CCC1CCC(C1)CCC(=O)[O-].[Cu+2],pubchem,0,1,0,0
Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,chen14,1,1,0,0
Vinyltrichlorosilane,294.15,1,C(=C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Dichloromethylmethyldichlorosilane,301.15,1,ClC(Cl)[Si](Cl)(Cl)C,chen14,1,1,0,0
Ethyltrichlorosilane,263.15,1,C(C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Ethylsilane,213.15,1,C(C)[SiH3],chen14,1,1,0,0
"Trichloro(3,3,3-trifluoropropyl)silane",288.15,1,Cl[Si](CCC(F)(F)F)(Cl)Cl,chen14,1,1,0,0
Allyltrichlorosilane,304.15,1,C(C=C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Propyltrichlorosilane,310.15,1,C(CC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Chloromethyldimethylchlorosilane,295.15,1,ClC[Si](Cl)(C)C,chen14,1,1,0,0
Trimethyl bromosilane,270.15,1,C[Si](Br)(C)C,chen14,1,1,0,0
Trimethylchlorosilane,255.15,1,C[Si](Cl)(C)C,chen14,1,1,0,0
Trimethylfluorosilane,238.15,1,C[Si](F)(C)C,chen14,1,1,0,0
Trimethoxysilane,264.15,1,CO[SiH](OC)OC,chen14,1,1,0,0
2-Cyanoethylmethyldichlorosilane,333.15,1,C(#N)CC[Si](Cl)(Cl)C,chen14,1,1,0,0
Allylmethyldichlorosilane,300.15,1,C(C=C)C[SiH](Cl)Cl,chen14,1,1,0,0
t-Butyltrichlorosilane,294.15,1,C(C)(C)(C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Isobutyltrichlorosilane,310.15,1,C(C(C)C)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Butyltrichlorosilane,327.15,1,C(CCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Trimethylsilylisothiocyanate,308.15,1,C[Si](C)(C)N=C=S,chen14,1,1,0,0
n-Propylmethyldichlorosilane,300.15,1,C(CC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Bromomethyltrimethylsilane,289.15,1,BrC[Si](C)(C)C,chen14,1,1,0,0
ETHYLDIMETHYLCHLOROSILANE,269.15,1,C(C)[Si](Cl)(C)C,chen14,1,1,0,0
Methoxytrimethylsilane,243.15,1,CO[Si](C)(C)C,chen14,1,1,0,0
Dimethyldimethoxysilane,265.15,1,C[Si](OC)(OC)C,chen14,1,1,0,0
Methyltrimethoxysilane,284.15,1,C[Si](OC)(OC)OC,chen14,1,1,0,0
Diethylsilane,253.15,1,C(C)[SiH2]CC,chen14,1,1,0,0
"(N,N-Dimethylamino)dimethylsilane",260.15,1,CN(C)[SiH](C)C,chen14,1,1,0,0
Tetraisocyanatosilane,323.15,1,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,chen14,1,1,0,0
Cyclopentyltrichlorosilane,350.15,1,C1(CCCC1)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Trimethylsilyltrifluoroacetate,273.15,1,C[Si](C)(C)OC(C(F)(F)F)=O,chen14,1,1,0,0
Cyclopentyldichlorosilane,316.15,1,C1(CCCC1)[SiH](Cl)Cl,chen14,1,1,0,0
3-Chloro-2-methylpropylmethyldichlorosilane,363.15,1,ClCC(C[Si](Cl)(Cl)C)C,chen14,1,1,0,0
Methylvinyldimethoxysilane,277.15,1,CC=C[SiH](OC)OC,chen14,1,1,0,0
Vinyltrimethoxysilane,296.15,1,C(=C)[Si](OC)(OC)OC,chen14,1,1,0,0
Trimethylvinylsilane,239.15,1,CC(=C(C)C)[SiH3],chen14,1,1,0,0
Diethylmethylchlorosilane,288.15,1,C(C)[Si](Cl)(C)CC,chen14,1,1,0,0
Chloromethyldimethylethoxysilane,299.15,1,ClC[Si](OCC)(C)C,chen14,1,1,0,0
Ethoxytrimethylsilane,246.15,1,C(C)O[Si](C)(C)C,chen14,1,1,0,0
Ethyltrimethoxysilane,300.15,1,C(C)[Si](OC)(OC)OC,chen14,1,1,0,0
"(N,N-Dimethylamino)trimethylsilane",254.5,1,CN(C)[Si](C)(C)C,chen14,1,1,0,0
Pentamethyldisiloxane,254.15,1,C[SiH](O[Si](C)(C)C)C,chen14,1,1,0,0
Phenylsilane,281.15,1,C1(=CC=CC=C1)[SiH3],chen14,1,1,0,0
1-Hexenyltrichlorosilane,333.15,1,C(=CCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Cyclohexyltrichlorosilane,358.15,1,C1(CCCCC1)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Bis(chloromethyl)tetramethyldisiloxane,346.15,1,ClC[Si](O[Si](C)(C)C)(C)CCl,chen14,1,1,0,0
Propargyloxytrimethylsilane,300.15,1,C(C#C)O[Si](C)(C)C,chen14,1,1,0,0
Divinyldimethylsilane,281.15,1,C(=C)[Si](C)(C)C=C,chen14,1,1,0,0
n-Hexyltrichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Hexyldichlorosilane,337.15,1,C(CCCCC)[SiH](Cl)Cl,chen14,1,1,0,0
"1,1 -Dimethyl-1-sila-2-oxacyclohexane",287.15,1,C[Si]1(OCCCC1)C,chen14,1,1,0,0
Acetoxymethyltrimethylsilane,293.15,1,C(C)(=O)OC[Si](C)(C)C,chen14,1,1,0,0
Allyltrimethylsilane,280.15,1,C(C=C)[Si](C)(C)C,chen14,1,1,0,0
Triethylchlorosilane,303.15,1,C(C)[Si](Cl)(CC)CC,chen14,1,1,0,0
t-Butyldimethylchlorosilane,295.15,1,C(C)(C)(C)[Si](Cl)(C)C,chen14,1,1,0,0
3-Chloropropylmethyldimethoxysilane,318.15,1,ClCCC[Si](OC)(OC)C,chen14,1,1,0,0
Trimethyl-n-propoxysilane,283.15,1,C[Si](OCCC)(C)C,chen14,1,1,0,0
t-Butyldimethylsilanol,318.15,1,C(C)(C)(C)[Si](O)(C)C,chen14,1,1,0,0
Dimethyldiethoxysilane,284.15,1,C[Si](OCC)(OCC)C,chen14,1,1,0,0
Triethylsilane,270.15,1,C(C)[SiH](CC)CC,chen14,1,1,0,0
Hexylsilane,285.15,1,C(CCCCC)[SiH3],chen14,1,1,0,0
t-Butyld imethyl silane,251.15,1,C(C)(C)(C)[SiH](C)C,chen14,1,1,0,0
Bis(dimethylamino)dimethylsilane,266.15,1,CN(C)[Si](C)(C)N(C)C,chen14,1,1,0,0
Hexamethylcyclotrisiloxane,305.15,1,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,chen14,1,1,0,0
Hexamethyldisilthiane,299.15,1,C[Si](S[Si](C)(C)C)(C)C,chen14,1,1,0,0
Hexamethyldisilazane,281.15,1,C[Si](N[Si](C)(C)C)(C)C,chen14,1,1,0,0
Tris(dimethylamino)silane,298.15,1,CN(C)[SiH](N(C)C)N(C)C,chen14,1,1,0,0
Hexamethyltrisiloxane,293.15,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,chen14,1,1,0,0
Phenylmethyldichlorosilane,340.15,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,chen14,1,1,0,0
Phenylmethylchlorosilane,355.15,1,C1(=CC=CC=C1)C[SiH2]Cl,chen14,1,1,0,0
Methyltriacetoxysilane,358.15,1,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1,1,0,0
Trivinylmethylsilane,288.15,1,C(=C)C(C=C)(C=C)[SiH3],chen14,1,1,0,0
Cyclohexylmethyldichlorosilane,355.15,1,C1(CCCCC1)C[SiH](Cl)Cl,chen14,1,1,0,0
"1-(Trimethylsiloxy)-1,3-butadiene",298.15,1,C[Si](OC=CC=C)(C)C,chen14,1,1,0,0
2-Chloromethyl-3-trimethylsilyl-1-propene,316.15,1,ClCC(=C)C[Si](C)(C)C,chen14,1,1,0,0
n-Heptyltrichlorosilane,337.15,1,C(CCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Hexylmethyldichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Vinylmethyldiethoxysilane,289.15,1,C(=C)C[SiH](OCC)OCC,chen14,1,1,0,0
N-(Trimethylsilyl)morpholine,300.15,1,C[Si](N1CCOCC1)(C)C,chen14,1,1,0,0
t-Butoxytrimethylsilane,287.15,1,C(C)(C)(C)O[Si](C)(C)C,chen14,1,1,0,0
(1-Methoxy-2-propoxy)trimethylsilane,293.15,1,COCC(C)O[Si](C)(C)C,chen14,1,1,0,0
Methyltriethoxysilane,297.15,1,C[Si](OCC)(OCC)OCC,chen14,1,1,0,0
(Diethylamino)trimethylsilane,283.15,1,C(C)N(CC)[Si](C)(C)C,chen14,1,1,0,0
Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,chen14,1,1,0,0
Heptamethyldisilazane,300.15,1,C[Si](N([Si](C)(C)C)C)(C)C,chen14,1,1,0,0
Bis(trimethylsiloxy)methylsilane,296.15,1,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,chen14,1,1,0,0
Tetravinylsilane,291.15,1,C(=C)[Si](C=C)(C=C)C=C,chen14,1,1,0,0
Cyclopentadienyltrimethylsilane,302.15,1,C1(C=CC=C1)[Si](C)(C)C,chen14,1,1,0,0
(Cyclopentenyloxy)trimethylsilane,311.15,1,C1(=CCCC1)O[Si](C)(C)C,chen14,1,1,0,0
"(2,4-Pentadienyl)trimethylsilane",291.15,1,C(C=CC=C)[Si](C)(C)C,chen14,1,1,0,0
n-Octyltrichlorosilane,369.15,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Heptylmethyldichlorosilane,339.15,1,C(CCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Tetramethyldivinyldisiloxane,292.15,1,C[Si](O[Si](C=C)(C=C)C)(C)C,chen14,1,1,0,0
Triethylacetoxysilane,314.15,1,C(C)C(C(=O)O[SiH3])(CC)CC,chen14,1,1,0,0
Vinyltriethoxysilane,307.15,1,C(=C)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
"1,3-Divinyltetramethyldisilazane",307.15,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,chen14,1,1,0,0
Diethyldiethoxysilane,316.15,1,C(C)[Si](OCC)(OCC)CC,chen14,1,1,0,0
Tetraethoxysilane,323.15,1,C(C)O[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Tetraethylsilane,305.15,1,C(C)[Si](CC)(CC)CC,chen14,1,1,0,0
Aminoethylaminopropyltrimethoxysilane,269.15,1,NCCNCCC[Si](OC)(OC)OC,chen14,1,1,0,0
Tetramethyldiethoxysiloxane,311.15,1,CC(C(O[Si]([O])OCC)(C)C)C,chen14,1,1,0,0
Octamethyltrisiloxane,303.15,1,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Octamethylcyclotetrasilazane,339.15,1,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,chen14,1,1,0,0
Tetrakisdimethylsiloxysilane,340.15,1,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,chen14,1,1,0,0
p-Chlorophenyltrimethylsilane,322.15,1,ClC1=CC=C(C=C1)[Si](C)(C)C,chen14,1,1,0,0
Phenyltrimethoxysilane,358.15,1,C1(=CC=CC=C1)[Si](OC)(OC)OC,chen14,1,1,0,0
Trimethylphenylsilane,313.15,1,C[Si](C1=CC=CC=C1)(C)C,chen14,1,1,0,0
Cyclohexylmethyldimethoxysilane,343.15,1,C1(CCCCC1)C[SiH](OC)OC,chen14,1,1,0,0
Hexyltrimethoxysilane,335.15,1,C(CCCCC)[Si](OC)(OC)OC,chen14,1,1,0,0
Triisopropylsilane,310.15,1,C(C)(C)[SiH](C(C)C)C(C)C,chen14,1,1,0,0
Tri-n-propylsilane,316.15,1,C(CC)[SiH](CCC)CCC,chen14,1,1,0,0
Propyltris(dimethylsiloxy)silane,323.15,1,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,chen14,1,1,0,0
Benzyltrimethylsilane,335.15,1,C(C1=CC=CC=C1)[Si](C)(C)C,chen14,1,1,0,0
3-Methacryloxypropyltrimethoxysilane,365.15,1,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,chen14,1,1,0,0
1-Heptynyltrimethylsilane,315.15,1,C(#CCCCCC)[Si](C)(C)C,chen14,1,1,0,0
n-Octyldimethylchlorosilane,370.15,1,C(CCCCCCC)[Si](Cl)(C)C,chen14,1,1,0,0
Bis(diethylamino)dimethylsilane,308.15,1,C(C)N(CC)[Si](C)(C)N(CC)CC,chen14,1,1,0,0
Decamethyltetrasiloxane,335.15,1,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,chen14,1,1,0,0
n-Decylmethyldichlorosilane,393.15,1,C(CCCCCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Diphenyldichlorosilane,415.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,chen14,1,1,0,0
Phenyltriethoxysilane,393.15,1,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Diphenylsilane,371.15,1,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,chen14,1,1,0,0
"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",385.15,1,C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,chen14,1,1,0,0
n-Dodecyltrichlorosilane,435.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Tetra-n-propoxysilane,368.15,1,C(CC)O[Si](OCCC)(OCCC)OCCC,chen14,1,1,0,0
Hexaethyldisiloxane,349.15,1,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,chen14,1,1,0,0
Dodecamethylpentasiloxane,352.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,chen14,1,1,0,0
n-Dodecylmethyldichlorosilane,416.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Diphenyldimethoxysilane,394.15,1,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,chen14,1,1,0,0
Octyltriethoxysilane,373.15,1,C(CCCCCCC)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Tetradecamethylhexasiloxane,375.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
n-Octadecyltrichlorosilane,466.15,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Octadecamethyloctasiloxane,417.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Vinyltris(methoxyethoxy)silane,353.15,1,C(=C)[Si](OCCOC)(OCCOC)OCCOC,chen14,1,1,0,0
Trimethyl(vinyloxy)silane,263.15,1,C[Si](OC=C)(C)C,chen14,1,1,0,0
Trichloro(3-cyanopropyl) Silane,365.15,1,Cl[Si](CCCC#N)(Cl)Cl,chen14,1,1,0,0
Trichloro(2-phenylethyl)silane,364.15,1,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,chen14,1,1,0,0
"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,Cl[Si](CCC(F)(F)F)(C)C,chen14,1,1,0,0
Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,chen14,1,1,0,0
Trichloro(Chloromethyl) silane,342.15,1,Cl[Si](CCl)(Cl)Cl,chen14,1,1,0,0
Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14,1,1,0,0
Trichloro(p-chlorophenyl)silane,397.05,1,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14,1,1,0,0
Trisilane,273.15,1,[SiH3][SiH2][SiH3],chen14,1,1,0,0
Trichlorononylsilane,387.15,1,ClC(CCCCCCCC[SiH3])(Cl)Cl,chen14,1,1,0,0
Dichloroethylsilane,263.75,1,ClC(C[SiH3])Cl,chen14,1,1,0,0
Trichloro(dichlorophenyl)silane,419.15,1,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14,1,1,0,0
Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14,1,1,0,0
Tris(trimethylsiloxy)silane,323.15,1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14,1,1,0,0
Hexadecyltrichlorosilane,427.15,1,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Dichlorosilane,236.15,1,Cl[SiH2]Cl,chen14,1,1,0,0
Dimethyldichlorosilane,257.15,1,C[Si](Cl)(Cl)C,chen14,1,1,0,0
Bromomethyldimethylchlorosilane,314.15,1,BrC[Si](Cl)(C)C,chen14,1,1,0,0
Trimethylsilane,204.15,1,C[SiH](C)C,chen14,1,1,0,0
Dimethylvinylchlorosilane,268.15,1,CC(=C[SiH2]Cl)C,chen14,1,1,0,0
"1,3-Dichlorotetramethyldisiloxane",288.15,1,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14,1,1,0,0
"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](O[SiH](C)C)C,chen14,1,1,0,0
Tetramethyldisilazane,284.15,1,CN([Si](C)(C)C)[SiH3],chen14,1,1,0,0
Allyl Dimethylchlorosilane,278.15,1,C(C=C)[Si](Cl)(C)C,chen14,1,1,0,0
sec-Amyltrichlorosilane,303.15,1,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
